"Time","kWh"
2022-10-27 10:38:48,21.92
2022-10-27 10:39:18,22.05
2022-10-27 10:39:48,22.21
2022-10-27 10:40:18,22.23
2022-10-27 10:40:48,22.37
2022-10-27 10:41:18,22.52
2022-10-27 10:41:48,22.53
2022-10-27 10:42:48,22.54
2022-10-27 10:43:18,22.85
2022-10-27 10:43:48,22.86
2022-10-27 10:44:18,23.00
2022-10-27 10:44:48,23.04
2022-10-27 10:45:18,23.14
2022-10-27 10:45:48,23.21
2022-10-27 10:46:18,23.28
2022-10-27 10:46:48,23.41
2022-10-27 10:47:18,23.43
2022-10-27 10:47:48,23.54
2022-10-27 10:48:18,23.64
2022-10-27 10:48:48,23.67
2022-10-27 10:49:18,23.76
2022-10-27 10:49:48,23.78
2022-10-27 10:50:18,23.88
2022-10-27 10:50:48,24.01
2022-10-27 10:51:48,24.12
2022-10-27 10:52:18,24.18
2022-10-27 10:52:48,24.25
2022-10-27 10:53:18,24.32
2022-10-27 10:53:48,24.33
2022-10-27 10:54:18,24.44
2022-10-27 10:54:48,24.57
2022-10-27 10:55:18,24.58
2022-10-27 10:55:48,24.68
2022-10-27 10:56:18,24.69
2022-10-27 10:56:48,24.80
2022-10-27 10:57:18,24.86
2022-10-27 10:57:48,24.87
2022-10-27 10:58:18,24.98
2022-10-27 10:58:48,25.10
2022-10-27 10:59:18,25.11
2022-10-27 10:59:48,25.21
2022-10-27 11:00:18,25.22
2022-10-27 11:00:48,25.32
2022-10-27 11:01:18,25.34
2022-10-27 11:01:48,25.39
2022-10-27 11:02:18,25.50
2022-10-27 11:02:48,25.54
2022-10-27 11:03:18,25.62
2022-10-27 11:03:48,25.66
2022-10-27 11:04:18,25.74
2022-10-27 11:04:48,25.82
2022-10-27 11:05:18,25.84
2022-10-27 11:05:48,25.91
2022-10-27 11:06:18,25.94
2022-10-27 11:06:48,26.09
2022-10-27 11:07:48,26.16
2022-10-27 11:08:18,26.22
2022-10-27 11:08:48,26.26
2022-10-27 11:09:18,26.35
2022-10-27 11:09:48,26.36
2022-10-27 11:10:18,26.45
2022-10-27 11:10:48,26.49
2022-10-27 11:11:18,26.56
2022-10-27 11:11:48,26.61
2022-10-27 11:12:18,26.65
2022-10-27 11:12:48,26.76
2022-10-27 11:13:18,26.77
2022-10-27 11:13:48,26.89
2022-10-27 11:14:18,26.90
